iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12
115	1.375814074	0	0.6229508197	0.5263157895	0.4634146341	0.1	0.6379928315	0.5060240964	0.6213592233	0.7040816327	0.5384615385	0.75	0.5987261146	0.7213822894
116	1.370635299	0	0.6229508197	0.5294117647	0.4634146341	0.1	0.6428571429	0.5060240964	0.6346153846	0.7040816327	0.5384615385	0.7543520309	0.6025641026	0.7296137339
117	1.366218471	0	0.627027027	0.5119047619	0.4819277108	0.1	0.6428571429	0.5060240964	0.6346153846	0.7040816327	0.5271317829	0.7528957529	0.5987261146	0.7284482759
118	1.361339528	0	0.6170212766	0.5212121212	0.5	0.1	0.6451612903	0.5060240964	0.6538461538	0.7040816327	0.534351145	0.7543520309	0.5987261146	0.7343412527
119	1.356498559	0	0.6203208556	0.5180722892	0.5176470588	0.1	0.65	0.5060240964	0.6538461538	0.7040816327	0.5230769231	0.7543520309	0.5987261146	0.7359307359
120	1.352582535	0	0.6310160428	0.5212121212	0.5176470588	0.1	0.65	0.5060240964	0.6538461538	0.7040816327	0.5230769231	0.7528957529	0.5987261146	0.7359307359
121	1.34851512	0	0.6344086022	0.5421686747	0.5	0.1	0.65	0.5060240964	0.6538461538	0.7040816327	0.534351145	0.7543520309	0.6025641026	0.7370689655
122	1.344000046	0	0.6310160428	0.5333333333	0.5176470588	0.1	0.654676259	0.5060240964	0.6476190476	0.7236180905	0.53125	0.7558139535	0.6025641026	0.7397849462
123	1.339483546	0	0.6276595745	0.5365853659	0.5176470588	0.1	0.6570397112	0.5060240964	0.6666666667	0.7236180905	0.5271317829	0.7572815534	0.6114649682	0.7397849462
124	1.334566627	0	0.6203208556	0.5243902439	0.5176470588	0.1	0.6570397112	0.5411764706	0.6730769231	0.7272727273	0.5271317829	0.7587548638	0.6163522013	0.7397849462
125	1.330725332	0	0.6276595745	0.5243902439	0.5348837209	0.1	0.6570397112	0.5411764706	0.6730769231	0.7272727273	0.5271317829	0.7602339181	0.625	0.7429805616
126	1.326124839	0	0.623655914	0.5333333333	0.5348837209	0.1	0.654676259	0.5581395349	0.6601941748	0.7272727273	0.5271317829	0.7602339181	0.6289308176	0.7413793103
